
time;ax;ay;az;wx;wy;wz;
0,0270;0,0146;-0,0187;0,3641;-0,0053;-0,0074;-0,0087;
0,0430;0,0146;-0,0187;0,3641;-0,0053;-0,0074;-0,0087;
0,0430;0,0146;-0,0187;0,3641;-0,0010;0,0011;0,0084;
0,0430;-0,0133;-0,0019;0,0636;-0,0010;0,0011;0,0084;
0,1280;-0,0133;-0,0019;0,0636;-0,0010;0,0011;0,0084;
0,1430;-0,0133;-0,0019;0,0636;-0,0010;0,0011;0,0084;
0,1430;-0,0133;-0,0019;0,0636;-0,0255;-0,0010;0,0180;
0,1440;0,0494;0,0183;-0,0715;-0,0255;-0,0010;0,0180;
0,2290;0,0494;0,0183;-0,0715;-0,0255;-0,0010;0,0180;
0,2440;0,0159;-0,0554;-0,0258;-0,0255;-0,0010;0,0180;
0,2440;0,0159;-0,0554;-0,0258;-0,0255;-0,0010;0,0180;
0,2440;0,0159;-0,0554;-0,0258;-0,0074;0,0033;0,0062;
0,3290;0,0159;-0,0554;-0,0258;-0,0074;0,0033;0,0062;
0,3440;0,0159;-0,0554;-0,0258;-0,0074;0,0033;0,0062;
0,3440;0,0159;-0,0554;-0,0258;0,0107;0,0033;-0,0023;
0,3440;-0,0462;-0,0298;-0,2179;0,0107;0,0033;-0,0023;
0,4300;-0,0462;-0,0298;-0,2179;0,0107;0,0033;-0,0023;
0,4450;0,0523;0,0044;-0,0188;0,0107;0,0033;-0,0023;
0,4450;0,0523;0,0044;-0,0188;0,0107;0,0033;-0,0023;
0,4450;0,0523;0,0044;-0,0188;-0,0383;-0,0031;0,0041;
0,5310;0,0523;0,0044;-0,0188;-0,0383;-0,0031;0,0041;
0,5450;0,0523;0,0044;-0,0188;-0,0383;-0,0031;0,0041;
0,5460;0,0523;0,0044;-0,0188;-0,0585;-0,0031;-0,0065;
0,5460;-0,0028;-0,0493;0,0181;-0,0585;-0,0031;-0,0065;
0,6310;-0,0028;-0,0493;0,0181;-0,0585;-0,0031;-0,0065;
0,6460;-0,0028;-0,0493;0,0181;-0,0585;-0,0031;-0,0065;
0,6460;-0,0028;-0,0493;0,0181;-0,0223;-0,0042;-0,0151;
0,6460;-0,0597;-0,0193;0,1304;-0,0223;-0,0042;-0,0151;
0,7320;-0,0597;-0,0193;0,1304;-0,0223;-0,0042;-0,0151;
0,7460;-0,0597;-0,0193;0,1304;-0,0223;-0,0042;-0,0151;
0,7460;-0,0597;-0,0193;0,1304;0,0224;0,0001;-0,0097;
0,7460;-0,0622;-0,0152;-0,0983;0,0224;0,0001;-0,0097;
0,8330;-0,0622;-0,0152;-0,0983;0,0224;0,0001;-0,0097;
0,8460;-0,0622;-0,0152;-0,0983;0,0224;0,0001;-0,0097;
0,8460;-0,0622;-0,0152;-0,0983;-0,0053;0,0001;-0,0002;
0,8470;-0,0000;-0,0408;-0,0074;-0,0053;0,0001;-0,0002;
0,9340;-0,0000;-0,0408;-0,0074;-0,0053;0,0001;-0,0002;
0,9470;-0,0000;-0,0408;-0,0074;-0,0053;0,0001;-0,0002;
0,9470;-0,0000;-0,0408;-0,0074;0,0043;0,0075;0,0031;
0,9470;-0,0534;-0,0091;-0,0475;0,0043;0,0075;0,0031;
1,0350;-0,0534;-0,0091;-0,0475;0,0043;0,0075;0,0031;
1,0510;-0,0516;-0,0188;-0,0898;0,0043;0,0075;0,0031;
1,0510;-0,0516;-0,0188;-0,0898;0,0043;0,0075;0,0031;
1,0520;-0,0516;-0,0188;-0,0898;0,0043;0,0022;0,0041;
1,1360;-0,0516;-0,0188;-0,0898;0,0043;0,0022;0,0041;
1,1510;-0,0516;-0,0188;-0,0898;0,0043;0,0022;0,0041;
1,1520;-0,0516;-0,0188;-0,0898;-0,0223;-0,0042;0,0031;
1,1520;0,0026;-0,0177;0,0534;-0,0223;-0,0042;0,0031;
1,2370;0,0026;-0,0177;0,0534;-0,0223;-0,0042;0,0031;
1,2520;-0,0066;-0,0034;0,0839;-0,0223;-0,0042;0,0031;
1,2520;-0,0066;-0,0034;0,0839;-0,0223;-0,0042;0,0031;
1,2530;-0,0066;-0,0034;0,0839;-0,0010;-0,0042;-0,0012;
1,3380;-0,0066;-0,0034;0,0839;-0,0010;-0,0042;-0,0012;
1,3500;0,0115;0,0117;-0,1576;-0,0010;-0,0042;-0,0012;
1,3510;0,0115;0,0117;-0,1576;-0,0010;-0,0042;-0,0012;
1,3510;0,0115;0,0117;-0,1576;0,0160;0,0011;-0,0002;
1,4390;0,0115;0,0117;-0,1576;0,0160;0,0011;-0,0002;
1,4520;-0,0278;-0,0255;0,0413;0,0160;0,0011;-0,0002;
1,4530;-0,0278;-0,0255;0,0413;0,0160;0,0011;-0,0002;
1,4540;-0,0278;-0,0255;0,0413;-0,0138;0,0075;0,0031;
1,5410;-0,0278;-0,0255;0,0413;-0,0138;0,0075;0,0031;
1,5530;-0,0278;-0,0255;0,0413;-0,0138;0,0075;0,0031;
1,5530;-0,0278;-0,0255;0,0413;-0,0064;0,0033;-0,0012;
1,5540;-0,0100;0,0059;0,0598;-0,0064;0,0033;-0,0012;
1,6400;-0,0100;0,0059;0,0598;-0,0064;0,0033;-0,0012;
1,6540;-0,0100;0,0059;0,0598;-0,0064;0,0033;-0,0012;
1,6550;0,0048;0,0077;-0,1266;-0,0064;0,0033;-0,0012;
1,6550;0,0048;0,0077;-0,1266;0,0181;-0,0021;-0,0033;
1,7420;0,0048;0,0077;-0,1266;0,0181;-0,0021;-0,0033;
1,7530;0,0048;0,0077;-0,1266;0,0181;-0,0021;-0,0033;
1,7540;-0,0182;0,0030;-0,0164;0,0181;-0,0021;-0,0033;
1,7540;-0,0182;0,0030;-0,0164;-0,0138;-0,0042;0,0031;
1,8420;-0,0182;0,0030;-0,0164;-0,0138;-0,0042;0,0031;
1,8520;0,0214;-0,0301;0,1368;-0,0138;-0,0042;0,0031;
1,8530;0,0214;-0,0301;0,1368;-0,0138;-0,0042;0,0031;
1,8540;0,0214;-0,0301;0,1368;-0,0202;0,0001;0,0052;
1,9420;0,0214;-0,0301;0,1368;-0,0202;0,0001;0,0052;
1,9520;0,0214;-0,0301;0,1368;-0,0202;0,0001;0,0052;
1,9530;0,0063;-0,0717;-0,0078;-0,0202;0,0001;0,0052;
1,9530;0,0063;-0,0717;-0,0078;0,0192;0,0043;-0,0012;
2,0420;0,0063;-0,0717;-0,0078;0,0192;0,0043;-0,0012;
2,0520;0,0063;-0,0717;-0,0078;0,0192;0,0043;-0,0012;
2,0530;0,0063;-0,0717;-0,0078;0,0075;0,0043;-0,0012;
2,0730;0,0256;-0,0138;-0,0807;0,0075;0,0043;-0,0012;
2,1430;0,0256;-0,0138;-0,0807;0,0075;0,0043;-0,0012;
2,1530;0,0256;-0,0138;-0,0807;0,0075;0,0043;-0,0012;
2,1540;0,0256;-0,0138;-0,0807;-0,0170;0,0011;0,0020;
2,1540;-0,0172;0,0227;0,0072;-0,0170;0,0011;0,0020;
2,2440;-0,0172;0,0227;0,0072;-0,0170;0,0011;0,0020;
2,2530;-0,0172;0,0227;0,0072;-0,0170;0,0011;0,0020;
2,2540;-0,0172;0,0227;0,0072;0,0022;-0,0010;0,0009;
2,2550;0,0046;-0,0533;0,0195;0,0022;-0,0010;0,0009;
2,3470;0,0046;-0,0533;0,0195;0,0022;-0,0010;0,0009;
2,3550;0,0046;-0,0533;0,0195;0,0022;-0,0010;0,0009;
2,3550;0,0046;-0,0533;0,0195;-0,0010;-0,0021;0,0020;
2,3560;-0,0103;-0,0316;-0,0817;-0,0010;-0,0021;0,0020;
2,4480;-0,0103;-0,0316;-0,0817;-0,0010;-0,0021;0,0020;
2,4550;-0,0103;-0,0316;-0,0817;-0,0010;-0,0021;0,0020;
2,4560;-0,0103;-0,0316;-0,0817;-0,0127;0,0001;0,0041;
