
time;gfx;gFy;gFz;ax;ay;az;wx;wy;wz;
0,0990;0,0676;0,8546;-0,5987;0,0130;0,0069;-0,6167;-0,1129;-0,0096;0,0394;
0,0990;0,0767;0,8369;-0,6367;0,0130;0,0069;-0,6167;-0,1129;-0,0096;0,0394;
0,1000;0,0767;0,8369;-0,6367;0,0130;0,0069;-0,6167;-0,1129;-0,0096;0,0394;
0,1010;0,0767;0,8369;-0,6367;0,0130;0,0069;-0,6167;-0,1129;-0,0096;0,0394;
0,1010;0,0767;0,8369;-0,6367;0,1573;-0,0660;-0,9005;-0,1129;-0,0096;0,0394;
0,1020;0,0767;0,8369;-0,6367;0,1573;-0,0660;-0,9005;-0,1129;-0,0096;0,0394;
0,2880;0,0767;0,8369;-0,6367;0,1573;-0,0660;-0,9005;-0,1129;-0,0096;0,0394;
0,2890;0,0767;0,8369;-0,6367;0,1573;-0,0660;-0,9005;-0,1129;-0,0096;0,0394;
0,2890;0,0767;0,8369;-0,6367;0,1573;-0,0660;-0,9005;0,0948;-0,0096;0,0000;
0,2900;0,0517;0,8512;-0,5143;0,1573;-0,0660;-0,9005;0,0948;-0,0096;0,0000;
0,2910;0,0517;0,8512;-0,5143;-0,0007;-0,0974;-0,0699;0,0948;-0,0096;0,0000;
0,2910;0,0517;0,8512;-0,5143;-0,0007;-0,0974;-0,0699;0,0948;-0,0096;0,0000;
0,4780;0,0517;0,8512;-0,5143;-0,0007;-0,0974;-0,0699;0,1641;0,0607;-0,0117;
0,4790;0,0465;0,8476;-0,5463;-0,0007;-0,0974;-0,0699;0,1641;0,0607;-0,0117;
0,4790;0,0465;0,8476;-0,5463;-0,0007;-0,0974;-0,0699;0,1641;0,0607;-0,0117;
0,4800;0,0465;0,8476;-0,5463;-0,0007;-0,0974;-0,0699;0,1641;0,0607;-0,0117;
0,4800;0,0465;0,8476;-0,5463;0,0041;-0,0640;-0,0131;0,1641;0,0607;-0,0117;
0,4810;0,0465;0,8476;-0,5463;0,0041;-0,0640;-0,0131;0,1641;0,0607;-0,0117;
0,6710;0,0465;0,8476;-0,5463;0,0041;-0,0640;-0,0131;0,1641;0,0607;-0,0117;
0,6720;0,0465;0,8476;-0,5463;0,0041;-0,0640;-0,0131;0,1641;0,0607;-0,0117;
0,6730;0,0465;0,8476;-0,5463;0,0041;-0,0640;-0,0131;0,0756;0,0671;-0,0288;
0,6750;0,0557;0,8639;-0,5334;0,0041;-0,0640;-0,0131;0,0756;0,0671;-0,0288;
0,6760;0,0557;0,8639;-0,5334;0,0385;0,1186;-0,1056;0,0756;0,0671;-0,0288;
0,6770;0,0557;0,8639;-0,5334;0,0385;0,1186;-0,1056;0,0756;0,0671;-0,0288;
0,8650;0,0557;0,8639;-0,5334;0,0385;0,1186;-0,1056;0,0756;0,0671;-0,0288;
0,8670;0,0557;0,8639;-0,5334;0,0385;0,1186;-0,1056;0,0756;0,0671;-0,0288;
0,8690;0,0557;0,8639;-0,5334;0,0385;0,1186;-0,1056;-0,0895;-0,0021;0,0288;
0,8710;0,0613;0,8452;-0,5907;0,0385;0,1186;-0,1056;-0,0895;-0,0021;0,0288;
0,8730;0,0613;0,8452;-0,5907;0,0935;-0,0230;-0,6000;-0,0895;-0,0021;0,0288;
0,8750;0,0613;0,8452;-0,5907;0,0935;-0,0230;-0,6000;-0,0895;-0,0021;0,0288;
1,0560;0,0613;0,8452;-0,5907;0,0935;-0,0230;-0,6000;-0,0895;-0,0021;0,0288;
1,0580;0,0613;0,8452;-0,5907;0,0935;-0,0230;-0,6000;-0,0895;-0,0021;0,0288;
1,0610;0,0613;0,8452;-0,5907;0,0935;-0,0230;-0,6000;-0,0320;-0,0447;0,0373;
1,0630;0,0607;0,8466;-0,5949;0,0935;-0,0230;-0,6000;-0,0320;-0,0447;0,0373;
1,0650;0,0607;0,8466;-0,5949;0,0932;0,0084;-0,6131;-0,0320;-0,0447;0,0373;
1,0670;0,0607;0,8466;-0,5949;0,0932;0,0084;-0,6131;-0,0320;-0,0447;0,0373;
1,2450;0,0607;0,8466;-0,5949;0,0932;0,0084;-0,6131;-0,0320;-0,0447;0,0373;
1,2470;0,0607;0,8466;-0,5949;0,0932;0,0084;-0,6131;-0,0320;-0,0447;0,0373;
1,2490;0,0607;0,8466;-0,5949;0,0932;0,0084;-0,6131;-0,1225;-0,0639;0,0181;
1,2510;0,0514;0,8531;-0,6016;0,0932;0,0084;-0,6131;-0,1225;-0,0639;0,0181;
1,2530;0,0514;0,8531;-0,6016;-0,0015;0,0894;-0,6515;-0,1225;-0,0639;0,0181;
1,2550;0,0514;0,8531;-0,6016;-0,0015;0,0894;-0,6515;-0,1225;-0,0639;0,0181;
1,4350;0,0514;0,8531;-0,6016;-0,0015;0,0894;-0,6515;-0,0330;-0,0149;-0,0085;
1,4380;0,0333;0,8532;-0,5446;-0,0015;0,0894;-0,6515;-0,0330;-0,0149;-0,0085;
1,4410;0,0333;0,8532;-0,5446;-0,0015;0,0894;-0,6515;-0,0330;-0,0149;-0,0085;
1,4430;0,0333;0,8532;-0,5446;-0,0015;0,0894;-0,6515;-0,0330;-0,0149;-0,0085;
1,4450;0,0333;0,8532;-0,5446;-0,0078;0,0937;-0,6454;-0,0330;-0,0149;-0,0085;
1,4470;0,0333;0,8532;-0,5446;-0,0078;0,0937;-0,6454;-0,0330;-0,0149;-0,0085;
1,5970;0,0577;0,8440;-0,6175;-0,0078;0,0937;-0,6454;-0,0330;-0,0149;-0,0085;
1,5970;0,0577;0,8440;-0,6175;-0,0078;0,0937;-0,6454;-0,0330;-0,0149;-0,0085;
1,5980;0,0577;0,8440;-0,6175;-0,0078;0,0937;-0,6454;-0,0330;-0,0149;-0,0085;
1,5990;0,0577;0,8440;-0,6175;-0,0078;0,0937;-0,6454;-0,0330;-0,0149;-0,0085;
1,6000;0,0577;0,8440;-0,6175;-0,0078;0,0937;-0,6454;-0,0330;-0,0149;-0,0085;
1,6010;0,0577;0,8440;-0,6175;-0,0078;0,0937;-0,6454;-0,0330;-0,0149;-0,0085;
1,6020;0,0577;0,8440;-0,6175;-0,0078;0,0937;-0,6454;-0,0330;-0,0149;-0,0085;
1,6020;0,0509;0,8443;-0,6126;-0,0078;0,0937;-0,6454;-0,0330;-0,0149;-0,0085;
1,6190;0,0509;0,8443;-0,6126;-0,0078;0,0937;-0,6454;0,0618;0,0383;0,0043;
1,6200;0,0318;0,8416;-0,5871;-0,0078;0,0937;-0,6454;0,0618;0,0383;0,0043;
